Date,Total Posts
1/1/17,5
1/2/17,9
1/3/17,12
1/4/17,13
1/5/17,6
1/6/17,11
1/7/17,26
1/8/17,18
1/9/17,34
1/10/17,11
1/11/17,21
1/12/17,26
1/13/17,13
1/14/17,8
1/15/17,9
1/16/17,8
1/17/17,8
1/18/17,5
1/19/17,5
1/20/17,8
1/21/17,12
1/22/17,16
1/23/17,14
1/24/17,7
1/25/17,21
1/26/17,10
1/27/17,10
1/28/17,9
1/29/17,20
1/30/17,18
1/31/17,11
2/1/17,16
2/2/17,19
2/3/17,18
2/4/17,10
2/5/17,16
2/6/17,11
2/7/17,22
2/8/17,22
2/9/17,10
2/10/17,13
2/11/17,14
2/12/17,5
2/13/17,10
2/14/17,8
2/15/17,5
2/16/17,10
2/17/17,9
2/18/17,12
2/19/17,17
2/20/17,25
2/21/17,21
2/22/17,13
2/23/17,14
2/24/17,17
2/25/17,8
2/26/17,11
2/27/17,10
2/28/17,8
3/1/17,16
3/2/17,8
3/3/17,38
3/4/17,12
3/5/17,7
3/6/17,6
3/7/17,7
3/8/17,11
3/9/17,8
3/10/17,13
3/11/17,17
3/12/17,18
3/13/17,21
3/14/17,6
3/15/17,15
3/16/17,14
3/17/17,7
3/18/17,5
3/19/17,8
3/20/17,8
3/21/17,12
3/22/17,6
3/23/17,7
3/24/17,7
3/25/17,12
3/26/17,11
3/27/17,11
3/28/17,11
3/29/17,12
3/30/17,10
3/31/17,13
4/1/17,17
4/2/17,14
4/3/17,10
4/4/17,15
4/5/17,7
4/6/17,5
4/7/17,11
4/8/17,9
4/9/17,10
4/10/17,17
4/11/17,13
4/12/17,12
4/13/17,10
4/14/17,7
4/15/17,12
4/16/17,11
4/17/17,8
4/18/17,13
4/19/17,15
4/20/17,16
4/21/17,6
4/22/17,20
4/23/17,4
4/24/17,3
4/25/17,8
4/26/17,11
4/27/17,7
4/28/17,6
4/29/17,18
4/30/17,23
5/1/17,12
5/2/17,18
5/3/17,57
5/4/17,14
5/5/17,16
5/6/17,20
5/7/17,17
5/8/17,17
5/9/17,17
5/10/17,14
5/11/17,11
5/12/17,20
5/13/17,8
5/14/17,12
5/15/17,19
5/16/17,14
5/17/17,14
5/18/17,15
5/19/17,25
5/20/17,23
5/21/17,20
5/22/17,12
5/23/17,13
5/24/17,8
5/25/17,15
5/26/17,13
5/27/17,20
5/28/17,21
5/29/17,21
5/30/17,25
5/31/17,16
6/1/17,23
6/2/17,21
6/3/17,20
6/4/17,36
6/5/17,32
6/6/17,18
6/7/17,16
6/8/17,11
6/9/17,33
6/10/17,39
6/11/17,21
6/12/17,28
