Date,Total Posts
1/1/17,0
1/2/17,1
1/3/17,2
1/4/17,0
1/5/17,2
1/6/17,0
1/7/17,1
1/8/17,4
1/9/17,2
1/10/17,2
1/11/17,1
1/12/17,1
1/13/17,2
1/14/17,2
1/15/17,1
1/16/17,0
1/17/17,1
1/18/17,1
1/19/17,1
1/20/17,1
1/21/17,5
1/22/17,5
1/23/17,2
1/24/17,2
1/25/17,2
1/26/17,0
1/27/17,2
1/28/17,2
1/29/17,0
1/30/17,4
1/31/17,2
2/1/17,3
2/2/17,1
2/3/17,3
2/4/17,1
2/5/17,0
2/6/17,1
2/7/17,2
2/8/17,4
2/9/17,6
2/10/17,4
2/11/17,2
2/12/17,0
2/13/17,4
2/14/17,3
2/15/17,1
2/16/17,1
2/17/17,0
2/18/17,1
2/19/17,0
2/20/17,3
2/21/17,2
2/22/17,3
2/23/17,2
2/24/17,1
2/25/17,2
2/26/17,3
2/27/17,3
2/28/17,1
3/1/17,5
3/2/17,1
3/3/17,1
3/4/17,4
3/5/17,0
3/6/17,3
3/7/17,4
3/8/17,3
3/9/17,1
3/10/17,3
3/11/17,1
3/12/17,3
3/13/17,0
3/14/17,1
3/15/17,0
3/16/17,2
3/17/17,3
3/18/17,1
3/19/17,2
3/20/17,1
3/21/17,0
3/22/17,1
3/23/17,2
3/24/17,0
3/25/17,7
3/26/17,4
3/27/17,4
3/28/17,2
3/29/17,1
3/30/17,2
3/31/17,2
4/1/17,2
4/2/17,3
4/3/17,2
4/4/17,2
4/5/17,0
4/6/17,0
4/7/17,0
4/8/17,5
4/9/17,4
4/10/17,0
4/11/17,7
4/12/17,3
4/13/17,2
4/14/17,1
4/15/17,5
4/16/17,3
4/17/17,4
4/18/17,2
4/19/17,2
4/20/17,0
4/21/17,1
4/22/17,1
4/23/17,0
4/24/17,1
4/25/17,0
4/26/17,1
4/27/17,0
4/28/17,1
4/29/17,1
4/30/17,6
5/1/17,5
5/2/17,1
5/3/17,1
5/4/17,3
5/5/17,1
5/6/17,2
5/7/17,10
5/8/17,4
5/9/17,8
5/10/17,4
5/11/17,2
5/12/17,6
5/13/17,9
5/14/17,5
5/15/17,1
5/16/17,4
5/17/17,2
5/18/17,2
5/19/17,4
5/20/17,5
5/21/17,8
5/22/17,5
5/23/17,6
5/24/17,3
5/25/17,5
5/26/17,7
5/27/17,8
5/28/17,7
5/29/17,4
5/30/17,4
5/31/17,5
6/1/17,3
6/2/17,2
6/3/17,10
6/4/17,5
6/5/17,4
6/6/17,2
6/7/17,0
6/8/17,3
6/9/17,1
6/10/17,8
6/11/17,6
6/12/17,7
6/13/17,8
6/14/17,7
6/15/17,3
6/16/17,3
6/17/17,10
6/18/17,10
6/19/17,4
6/20/17,2
6/21/17,5
6/22/17,3
6/23/17,9
6/24/17,11
6/25/17,3
6/26/17,6
6/27/17,3
6/28/17,8
6/29/17,8
6/30/17,4
7/1/17,5
7/2/17,4
7/3/17,4
7/4/17,3
7/5/17,5
7/6/17,4
7/7/17,8
7/8/17,8
7/9/17,6
7/10/17,4
7/11/17,5
7/12/17,1
7/13/17,9
7/14/17,4
7/15/17,3
7/16/17,0
7/17/17,5
7/18/17,1
7/19/17,8
7/20/17,8
7/21/17,4
7/22/17,10
7/23/17,13
7/24/17,6
7/25/17,12
7/26/17,6
7/27/17,6
7/28/17,7
7/29/17,6
7/30/17,5
7/31/17,6
8/1/17,7
8/2/17,8
8/3/17,8
8/4/17,3
8/5/17,2
8/6/17,6
8/7/17,13
8/8/17,7
8/9/17,6
8/10/17,7
8/11/17,10
8/12/17,6
8/13/17,4
8/14/17,14
8/15/17,17
8/16/17,4
8/17/17,6
8/18/17,5
8/19/17,5
8/20/17,13
8/21/17,9
8/22/17,11
8/23/17,6
8/24/17,4
8/25/17,8
8/26/17,3
8/27/17,6
8/28/17,8
8/29/17,7
8/30/17,1
8/31/17,7
9/1/17,7
9/2/17,5
9/3/17,6
9/4/17,8
9/5/17,6
9/6/17,2
9/7/17,5
9/8/17,5
9/9/17,2
9/10/17,5
9/11/17,2
9/12/17,0
9/13/17,2
9/14/17,1
9/15/17,2
9/16/17,1
9/17/17,3
9/18/17,0
9/19/17,5
9/20/17,6
9/21/17,6
9/22/17,4
9/23/17,2
9/24/17,5
9/25/17,3
9/26/17,4
9/27/17,4
9/28/17,3
9/29/17,3
9/30/17,3
10/1/17,4
10/2/17,1
10/3/17,2
10/4/17,2
10/5/17,7
10/6/17,6
10/7/17,4
10/8/17,6
10/9/17,2
10/10/17,6
10/11/17,4
10/12/17,7
10/13/17,10
10/14/17,13
10/15/17,6
10/16/17,8
10/17/17,13
10/18/17,4
10/19/17,0
10/20/17,6
10/21/17,5
10/22/17,3
10/23/17,7
10/24/17,3
10/25/17,3
10/26/17,6
10/27/17,2
10/28/17,3
10/29/17,1
10/30/17,4
