Date,Total Posts
1/1/17,11
1/2/17,14
1/3/17,14
1/4/17,14
1/5/17,18
1/6/17,11
1/7/17,11
1/8/17,13
1/9/17,12
1/10/17,21
1/11/17,11
1/12/17,14
1/13/17,13
1/14/17,22
1/15/17,28
1/16/17,21
1/17/17,22
1/18/17,38
1/19/17,23
1/20/17,17
1/21/17,18
1/22/17,19
1/23/17,23
1/24/17,20
1/25/17,17
1/26/17,16
1/27/17,13
1/28/17,28
1/29/17,25
1/30/17,14
1/31/17,9
2/1/17,19
2/2/17,29
2/3/17,30
2/4/17,19
2/5/17,18
2/6/17,13
2/7/17,20
2/8/17,13
2/9/17,16
2/10/17,10
2/11/17,19
2/12/17,14
2/13/17,20
2/14/17,12
2/15/17,17
2/16/17,25
2/17/17,19
2/18/17,12
2/19/17,10
2/20/17,19
2/21/17,15
2/22/17,15
2/23/17,14
2/24/17,17
2/25/17,27
2/26/17,15
2/27/17,22
2/28/17,13
3/1/17,14
3/2/17,11
3/3/17,22
3/4/17,17
3/5/17,20
3/6/17,12
3/7/17,14
3/8/17,20
3/9/17,21
3/10/17,15
3/11/17,14
3/12/17,14
3/13/17,22
3/14/17,17
3/15/17,14
3/16/17,18
3/17/17,14
3/18/17,9
3/19/17,24
3/20/17,20
3/21/17,14
3/22/17,13
3/23/17,11
3/24/17,15
3/25/17,13
3/26/17,30
3/27/17,12
3/28/17,23
3/29/17,21
3/30/17,18
3/31/17,17
4/1/17,16
4/2/17,25
4/3/17,24
4/4/17,12
4/5/17,17
4/6/17,8
4/7/17,13
4/8/17,23
4/9/17,24
4/10/17,20
4/11/17,28
4/12/17,14
4/13/17,25
4/14/17,17
4/15/17,30
4/16/17,29
4/17/17,32
4/18/17,26
4/19/17,24
4/20/17,18
4/21/17,29
4/22/17,58
4/23/17,27
4/24/17,27
4/25/17,27
4/26/17,10
4/27/17,14
4/28/17,20
4/29/17,59
4/30/17,76
5/1/17,58
5/2/17,61
5/3/17,42
5/4/17,42
5/5/17,37
5/6/17,47
5/7/17,63
5/8/17,58
5/9/17,55
5/10/17,35
5/11/17,39
5/12/17,29
5/13/17,40
5/14/17,28
5/15/17,43
5/16/17,32
5/17/17,26
5/18/17,45
5/19/17,31
5/20/17,43
5/21/17,43
5/22/17,45
5/23/17,48
5/24/17,40
5/25/17,41
5/26/17,26
5/27/17,36
5/28/17,41
5/29/17,54
5/30/17,39
5/31/17,50
6/1/17,35
6/2/17,38
6/3/17,48
6/4/17,58
6/5/17,57
6/6/17,38
6/7/17,49
6/8/17,39
6/9/17,36
6/10/17,51
6/11/17,69
6/12/17,42
6/13/17,36
6/14/17,47
6/15/17,35
6/16/17,38
6/17/17,33
6/18/17,68
6/19/17,53
6/20/17,51
6/21/17,38
6/22/17,49
6/23/17,43
6/24/17,42
6/25/17,66
6/26/17,53
6/27/17,53
6/28/17,68
6/29/17,73
6/30/17,36
7/1/17,45
7/2/17,86
7/3/17,79
7/4/17,46
7/5/17,49
7/6/17,73
7/7/17,52
7/8/17,70
7/9/17,70
7/10/17,67
7/11/17,60
7/12/17,57
7/13/17,72
7/14/17,71
7/15/17,106
7/16/17,100
7/17/17,58
7/18/17,73
7/19/17,60
7/20/17,57
7/21/17,47
7/22/17,69
7/23/17,55
7/24/17,60
7/25/17,57
7/26/17,45
7/27/17,71
7/28/17,73
7/29/17,66
7/30/17,82
7/31/17,81
8/1/17,63
8/2/17,65
8/3/17,56
8/4/17,59
8/5/17,62
8/6/17,61
8/7/17,57
8/8/17,44
8/9/17,41
8/10/17,50
8/11/17,56
8/12/17,43
8/13/17,65
8/14/17,71
8/15/17,54
8/16/17,62
8/17/17,71
8/18/17,76
8/19/17,73
8/20/17,82
8/21/17,63
8/22/17,78
8/23/17,82
8/24/17,85
8/25/17,76
8/26/17,54
8/27/17,67
8/28/17,75
8/29/17,52
8/30/17,51
8/31/17,62
9/1/17,57
9/2/17,60
9/3/17,56
9/4/17,45
9/5/17,46
9/6/17,47
9/7/17,43
9/8/17,58
9/9/17,58
9/10/17,48
9/11/17,65
9/12/17,55
9/13/17,50
9/14/17,64
9/15/17,35
9/16/17,56
9/17/17,61
9/18/17,52
9/19/17,40
9/20/17,31
9/21/17,41
9/22/17,55
9/23/17,44
9/24/17,45
9/25/17,62
9/26/17,58
9/27/17,74
9/28/17,58
9/29/17,29
9/30/17,51
10/1/17,46
10/2/17,47
10/3/17,56
10/4/17,58
10/5/17,41
10/6/17,29
10/7/17,43
10/8/17,43
10/9/17,43
10/10/17,42
10/11/17,38
10/12/17,41
10/13/17,46
10/14/17,53
10/15/17,67
10/16/17,63
10/17/17,60
10/18/17,59
10/19/17,51
10/20/17,55
10/21/17,50
10/22/17,49
10/23/17,69
10/24/17,43
10/25/17,55
10/26/17,67
10/27/17,59
10/28/17,40
10/29/17,45
10/30/17,50
10/31/17,33
11/1/17,35
11/2/17,41
11/3/17,45
11/4/17,28
11/5/17,60
11/6/17,49
11/7/17,62
11/8/17,42
11/9/17,44
11/10/17,35
11/11/17,14
11/12/17,54
11/13/17,31
11/14/17,31
11/15/17,30
11/16/17,34
11/17/17,37
11/18/17,46
11/19/17,65
11/20/17,46
11/21/17,38
11/22/17,40
11/23/17,36
11/24/17,38
11/25/17,56
11/26/17,46
11/27/17,45
11/28/17,33
11/29/17,37
11/30/17,43
12/1/17,40
12/2/17,40
12/3/17,44
12/4/17,41
12/5/17,28
12/6/17,31
12/7/17,37
12/8/17,34
12/9/17,45
12/10/17,44
12/11/17,48
12/12/17,38
12/13/17,41
12/14/17,41
12/15/17,57
12/16/17,29
12/17/17,47
12/18/17,42
12/19/17,36
12/20/17,29
12/21/17,50
12/22/17,33
12/23/17,46
12/24/17,40
12/25/17,37
12/26/17,51
12/27/17,30
12/28/17,47
12/29/17,39
12/30/17,44
12/31/17,33
1/1/18,35
1/2/18,47
1/3/18,45
1/4/18,46
1/5/18,31
1/6/18,38
1/7/18,36
1/8/18,41
1/9/18,38
1/10/18,45
1/11/18,42
1/12/18,61
1/13/18,66
1/14/18,40
1/15/18,50
1/16/18,39
1/17/18,47
1/18/18,59
1/19/18,56
1/20/18,40
1/21/18,86
1/22/18,77
1/23/18,41
1/24/18,48
1/25/18,38
1/26/18,44
1/27/18,95
1/28/18,54
1/29/18,75
1/30/18,55
1/31/18,45
2/1/18,48
2/2/18,34
2/3/18,51
2/4/18,91
2/5/18,55
2/6/18,62
2/7/18,46
2/8/18,56
2/9/18,58
2/10/18,80
2/11/18,129
2/12/18,62
2/13/18,38
2/14/18,49
2/15/18,59
2/16/18,51
2/17/18,57
2/18/18,57
2/19/18,53
2/20/18,45
2/21/18,48
2/22/18,35
2/23/18,38
2/24/18,29
2/25/18,48
2/26/18,48
2/27/18,45
2/28/18,66
3/1/18,45
3/2/18,39
3/3/18,48
3/4/18,46
3/5/18,49
3/6/18,45
3/7/18,44
3/8/18,30
3/9/18,41
3/10/18,48
3/11/18,59
3/12/18,73
3/13/18,43
3/14/18,48
3/15/18,45
3/16/18,41
3/17/18,39
3/18/18,60
3/19/18,48
3/20/18,39
3/21/18,36
3/22/18,41
3/23/18,57
3/24/18,50
3/25/18,73
3/26/18,50
3/27/18,47
3/28/18,62
3/29/18,43
3/30/18,40
3/31/18,44
4/1/18,31
4/2/18,38
4/3/18,50
4/4/18,43
4/5/18,45
4/6/18,50
4/7/18,41
4/8/18,50
4/9/18,64
4/10/18,48
4/11/18,68
4/12/18,59
4/13/18,86
4/14/18,43
4/15/18,74
4/16/18,51
4/17/18,49
4/18/18,48
4/19/18,45
4/20/18,51
4/21/18,61
4/22/18,69
4/23/18,64
4/24/18,52
4/25/18,61
4/26/18,41
4/27/18,40
4/28/18,43
4/29/18,65
4/30/18,89
5/1/18,81
5/2/18,62
5/3/18,101
5/4/18,71
5/5/18,56
5/6/18,66
5/7/18,49
5/8/18,50
5/9/18,65
5/10/18,65
5/11/18,74
5/12/18,64
5/13/18,63
5/14/18,71
5/15/18,56
5/16/18,36
5/17/18,64
5/18/18,53
5/19/18,57
5/20/18,54
5/21/18,67
5/22/18,74
5/23/18,46
5/24/18,62
5/25/18,51
5/26/18,43
5/27/18,66
5/28/18,63
5/29/18,57
5/30/18,58
5/31/18,53
6/1/18,46
6/2/18,42
6/3/18,53
6/4/18,65
6/5/18,67
6/6/18,65
6/7/18,46
6/8/18,58
6/9/18,48
6/10/18,47
6/11/18,55
6/12/18,42
6/13/18,41
6/14/18,75
6/15/18,34
6/16/18,57
6/17/18,84
6/18/18,41
6/19/18,38
6/20/18,45
6/21/18,59
6/22/18,37
6/23/18,69
6/24/18,86
6/25/18,51
6/26/18,37
6/27/18,40
6/28/18,51
6/29/18,60
6/30/18,55
7/1/18,62
7/2/18,57
7/3/18,55
7/4/18,52
7/5/18,67
7/6/18,53
7/7/18,72
7/8/18,80
7/9/18,71
7/10/18,52
7/11/18,68
7/12/18,45
7/13/18,54
7/14/18,63
7/15/18,101
7/16/18,66
7/17/18,56
7/18/18,71
7/19/18,59
7/20/18,48
7/21/18,32
7/22/18,39
7/23/18,31
7/24/18,27
7/25/18,31
7/26/18,44
7/27/18,45
7/28/18,56
7/29/18,58
7/30/18,80
7/31/18,71
8/1/18,80
8/2/18,70
8/3/18,77
8/4/18,89
8/5/18,87
8/6/18,66
8/7/18,75
8/8/18,72
8/9/18,68
8/10/18,64
8/11/18,61
8/12/18,82
8/13/18,87
8/14/18,89
8/15/18,83
8/16/18,76
8/17/18,68
8/18/18,78
8/19/18,69
8/20/18,50
8/21/18,76
8/22/18,66
8/23/18,61
8/24/18,79
8/25/18,75
8/26/18,105
8/27/18,80
8/28/18,65
8/29/18,72
8/30/18,52
8/31/18,69
9/1/18,56
9/2/18,64
9/3/18,48
9/4/18,56
9/5/18,54
9/6/18,55
9/7/18,65
9/8/18,51
9/9/18,72
9/10/18,71
9/11/18,54
9/12/18,61
9/13/18,60
9/14/18,52
9/15/18,53
9/16/18,45
9/17/18,47
9/18/18,42
9/19/18,46
9/20/18,58
9/21/18,48
9/22/18,57
9/23/18,58
9/24/18,42
9/25/18,61
9/26/18,54
9/27/18,54
9/28/18,47
9/29/18,68
9/30/18,55
