project_id,risk_rating_code,risk_rating,risk_rating_sequence,risk_rating_code_key
P049290,Environment and Social,H,9,EAS
P049290,Fiduciary,S,9,FMP
P049290,Macroeconomic,S,9,MEC
P049290,Overall,H,9,ORR
P049290,Political and Governance,S,9,PAG
P049290,Stakeholders,S,9,SHR
P049290,Sector Strategies and Policies,S,9,SPI
P049290,Institutional Capacity,H,9,TCI
P049290,Technical Design,L,9,TDO
P054221,Environment and Social,M,18,EAS
P054221,Fiduciary,S,18,FMP
P054221,Macroeconomic,S,18,MEC
P054221,Overall,S,18,ORR
P054221,Political and Governance,M,18,PAG
P054221,Stakeholders,M,18,SHR
P054221,Sector Strategies and Policies,S,18,SPI
P054221,Institutional Capacity,S,18,TCI
P054221,Technical Design,M,18,TDO
P064836,Environment and Social,L,24,EAS
P064836,Fiduciary,S,24,FMP
P064836,Macroeconomic,M,24,MEC
P064836,Overall,S,24,ORR
P064836,Political and Governance,S,24,PAG
P064836,Stakeholders,L,24,SHR
P064836,Sector Strategies and Policies,M,24,SPI
P064836,Institutional Capacity,M,24,TCI
P064836,Technical Design,M,24,TDO
P069063,Environment and Social,L,28,EAS
P069063,Fiduciary,M,28,FMP
P069063,Macroeconomic,S,28,MEC
P069063,Overall,M,28,ORR
P069063,Political and Governance,S,28,PAG
P069063,Stakeholders,M,28,SHR
P069063,Sector Strategies and Policies,M,28,SPI
P069063,Institutional Capacity,M,28,TCI
P069063,Technical Design,M,28,TDO
P071250,Environment and Social,M,16,EAS
P071250,Fiduciary,M,16,FMP
P071250,Macroeconomic,L,16,MEC
P071250,Overall,S,16,ORR
P071250,Political and Governance,M,16,PAG
P071250,Stakeholders,S,16,SHR
P071250,Sector Strategies and Policies,S,16,SPI
P071250,Institutional Capacity,S,16,TCI
P071250,Technical Design,M,16,TDO
P074091,Environment and Social,M,13,EAS
P074091,Fiduciary,S,13,FMP
P074091,Macroeconomic,S,13,MEC
P074091,Overall,S,13,ORR
P074091,Political and Governance,S,13,PAG
P074091,Stakeholders,M,13,SHR
P074091,Sector Strategies and Policies,S,13,SPI
P074091,Institutional Capacity,S,13,TCI
P074091,Technical Design,L,13,TDO
P074191,Environment and Social,L,17,EAS
P074191,Fiduciary,M,17,FMP
P074191,Macroeconomic,S,17,MEC
P074191,Overall,S,17,ORR
P074191,Political and Governance,S,17,PAG
P074191,Stakeholders,S,17,SHR
P074191,Sector Strategies and Policies,S,17,SPI
P074191,Institutional Capacity,M,17,TCI
P074191,Technical Design,L,17,TDO
P074595,Environment and Social,H,28,EAS
P074595,Fiduciary,S,28,FMP
P074595,Macroeconomic,H,28,MEC
P074595,Overall,H,28,ORR
P074595,Political and Governance,H,28,PAG
P074595,Stakeholders,H,28,SHR
P074595,Sector Strategies and Policies,H,28,SPI
P074595,Institutional Capacity,H,28,TCI
P074595,Technical Design,S,28,TDO
P075941,Environment and Social,H,7,EAS
P075941,Fiduciary,M,7,FMP
P075941,Macroeconomic,L,7,MEC
P075941,Overall,H,7,ORR
P075941,Political and Governance,H,7,PAG
P075941,Stakeholders,H,7,SHR
P075941,Sector Strategies and Policies,L,7,SPI
P075941,Institutional Capacity,H,7,TCI
P075941,Technical Design,H,7,TDO
P079032,Environment and Social,M,18,EAS
P079032,Fiduciary,S,18,FMP
P079032,Macroeconomic,S,18,MEC
P079032,Overall,M,18,ORR
P079032,Political and Governance,S,18,PAG
P079032,Stakeholders,M,18,SHR
P079032,Sector Strategies and Policies,M,18,SPI
P079032,Institutional Capacity,M,18,TCI
P079032,Technical Design,M,18,TDO
P079736,Institutional Capacity,H,19,TCI
P079736,Macroeconomic,H,19,MEC
P079736,Political and Governance,H,19,PAG
P079736,Technical Design,S,19,TDO
P079736,Environment and Social,S,19,EAS
P079736,Overall,H,19,ORR
P079736,Sector Strategies and Policies,S,19,SPI
P079736,Fiduciary,S,19,FMP
P079736,Stakeholders,H,19,SHR
P083108,Environment and Social,M,21,EAS
P083108,Fiduciary,M,21,FMP
P083108,Macroeconomic,M,21,MEC
P083108,Overall,M,21,ORR
P083108,Political and Governance,S,21,PAG
P083108,Stakeholders,M,21,SHR
P083108,Sector Strategies and Policies,S,21,SPI
P083108,Institutional Capacity,S,21,TCI
P083108,Technical Design,M,21,TDO
P083325,Environment and Social,M,22,EAS
P083325,Fiduciary,S,22,FMP
P083325,Macroeconomic,M,22,MEC
P083325,Overall,S,22,ORR
P083325,Political and Governance,S,22,PAG
P083325,Stakeholders,M,22,SHR
P083325,Sector Strategies and Policies,M,22,SPI
P083325,Institutional Capacity,S,22,TCI
P083325,Technical Design,M,22,TDO
P083813,Environment and Social,S,15,EAS
P083813,Fiduciary,S,15,FMP
P083813,Macroeconomic,M,15,MEC
P083813,Overall,S,15,ORR
P083813,Political and Governance,S,15,PAG
P083813,Stakeholders,M,15,SHR
P083813,Sector Strategies and Policies,L,15,SPI
P083813,Institutional Capacity,S,15,TCI
P083813,Technical Design,M,15,TDO
P084302,Environment and Social,M,20,EAS
P084302,Fiduciary,S,20,FMP
P084302,Macroeconomic,S,20,MEC
P084302,Overall,M,20,ORR
P084302,Political and Governance,S,20,PAG
P084302,Stakeholders,L,20,SHR
P084302,Sector Strategies and Policies,M,20,SPI
P084302,Institutional Capacity,M,20,TCI
P084302,Technical Design,L,20,TDO
P084773,Environment and Social,M,13,EAS
P084773,Fiduciary,M,13,FMP
P084773,Macroeconomic,M,13,MEC
P084773,Overall,M,13,ORR
P084773,Political and Governance,M,13,PAG
P084773,Stakeholders,M,13,SHR
P084773,Sector Strategies and Policies,L,13,SPI
P084773,Institutional Capacity,M,13,TCI
P084773,Technical Design,L,13,TDO
P085009,Environment and Social,M,22,EAS
P085009,Fiduciary,M,22,FMP
P085009,Macroeconomic,M,22,MEC
P085009,Overall,S,22,ORR
P085009,Political and Governance,S,22,PAG
P085009,Stakeholders,M,22,SHR
P085009,Sector Strategies and Policies,S,22,SPI
P085009,Institutional Capacity,S,22,TCI
P085009,Technical Design,S,22,TDO
P085375,Environment and Social,L,16,EAS
P085375,Fiduciary,M,16,FMP
P085375,Macroeconomic,M,16,MEC
P085375,Overall,M,16,ORR
P085375,Political and Governance,M,16,PAG
P085375,Stakeholders,L,16,SHR
P085375,Sector Strategies and Policies,L,16,SPI
P085375,Institutional Capacity,M,16,TCI
P085375,Technical Design,L,16,TDO
P085621,Environment and Social,M,8,EAS
P085621,Fiduciary,M,8,FMP
P085621,Macroeconomic,L,8,MEC
P085621,Overall,S,8,ORR
P085621,Political and Governance,S,8,PAG
P085621,Stakeholders,L,8,SHR
P085621,Sector Strategies and Policies,M,8,SPI
P085621,Institutional Capacity,S,8,TCI
P085621,Technical Design,L,8,TDO
P086592,Environment and Social,M,8,EAS
P086592,Fiduciary,M,8,FMP
P086592,Macroeconomic,M,8,MEC
P086592,Overall,S,8,ORR
P086592,Political and Governance,S,8,PAG
P086592,Stakeholders,M,8,SHR
P086592,Sector Strategies and Policies,M,8,SPI
P086592,Institutional Capacity,S,8,TCI
P086592,Technical Design,M,8,TDO
P086660,Environment and Social,L,13,EAS
P086660,Fiduciary,L,13,FMP
P086660,Macroeconomic,M,13,MEC
P086660,Overall,M,13,ORR
P086660,Political and Governance,M,13,PAG
P086660,Stakeholders,L,13,SHR
P086660,Sector Strategies and Policies,S,13,SPI
P086660,Institutional Capacity,S,13,TCI
P086660,Technical Design,L,13,TDO
P086768,Environment and Social,S,19,EAS
P086768,Fiduciary,L,19,FMP
P086768,Macroeconomic,L,19,MEC
P086768,Overall,M,19,ORR
P086768,Political and Governance,S,19,PAG
P086768,Stakeholders,L,19,SHR
P086768,Sector Strategies and Policies,L,19,SPI
P086768,Institutional Capacity,M,19,TCI
P086768,Technical Design,M,19,TDO
P087140,Stakeholders,M,15,SHR
P087140,Institutional Capacity,H,15,TCI
P087140,Environment and Social,S,15,EAS
P087140,Macroeconomic,M,15,MEC
P087140,Fiduciary,H,15,FMP
P087140,Technical Design,M,15,TDO
P087140,Political and Governance,S,15,PAG
P087140,Sector Strategies and Policies,L,15,SPI
P087140,Overall,M,15,ORR
P087304,Environment and Social,H,15,EAS
P087304,Fiduciary,M,15,FMP
P087304,Macroeconomic,M,15,MEC
P087304,Overall,S,15,ORR
P087304,Political and Governance,S,15,PAG
P087304,Stakeholders,S,15,SHR
P087304,Sector Strategies and Policies,S,15,SPI
P087304,Institutional Capacity,S,15,TCI
P087304,Technical Design,H,15,TDO
P088520,Environment and Social,M,13,EAS
P088520,Fiduciary,S,13,FMP
P088520,Macroeconomic,L,13,MEC
P088520,Overall,S,13,ORR
P088520,Political and Governance,L,13,PAG
P088520,Stakeholders,M,13,SHR
P088520,Sector Strategies and Policies,L,13,SPI
P088520,Institutional Capacity,M,13,TCI
P088520,Technical Design,M,13,TDO
P088759,Environment and Social,L,14,EAS
P088759,Fiduciary,M,14,FMP
P088759,Macroeconomic,L,14,MEC
P088759,Overall,S,14,ORR
P088759,Political and Governance,M,14,PAG
P088759,Stakeholders,M,14,SHR
P088759,Sector Strategies and Policies,M,14,SPI
P088759,Institutional Capacity,M,14,TCI
P088759,Technical Design,S,14,TDO
P088799,Environment and Social,M,21,EAS
P088799,Fiduciary,H,21,FMP
P088799,Macroeconomic,L,21,MEC
P088799,Overall,S,21,ORR
P088799,Political and Governance,S,21,PAG
P088799,Stakeholders,M,21,SHR
P088799,Sector Strategies and Policies,L,21,SPI
P088799,Institutional Capacity,S,21,TCI
P088799,Technical Design,L,21,TDO
P088926,Environment and Social,M,14,EAS
P088926,Fiduciary,M,14,FMP
P088926,Macroeconomic,M,14,MEC
P088926,Overall,M,14,ORR
P088926,Political and Governance,M,14,PAG
P088926,Stakeholders,M,14,SHR
P088926,Sector Strategies and Policies,S,14,SPI
P088926,Institutional Capacity,M,14,TCI
P088926,Technical Design,M,14,TDO
P088966,Environment and Social,M,17,EAS
P088966,Fiduciary,L,17,FMP
P088966,Macroeconomic,S,17,MEC
P088966,Overall,M,17,ORR
P088966,Political and Governance,M,17,PAG
P088966,Stakeholders,M,17,SHR
P088966,Sector Strategies and Policies,M,17,SPI
P088966,Institutional Capacity,M,17,TCI
P088966,Technical Design,M,17,TDO
P089733,Environment and Social,L,15,EAS
P089733,Fiduciary,L,15,FMP
P089733,Macroeconomic,M,15,MEC
P089733,Overall,M,15,ORR
P089733,Political and Governance,M,15,PAG
P089733,Stakeholders,L,15,SHR
P089733,Sector Strategies and Policies,M,15,SPI
P089733,Institutional Capacity,L,15,TCI
P089733,Technical Design,L,15,TDO
P089985,Environment and Social,M,14,EAS
P089985,Fiduciary,L,14,FMP
P089985,Macroeconomic,L,14,MEC
P089985,Overall,M,14,ORR
P089985,Political and Governance,L,14,PAG
P089985,Stakeholders,L,14,SHR
P089985,Sector Strategies and Policies,L,14,SPI
P089985,Institutional Capacity,M,14,TCI
P089985,Technical Design,L,14,TDO
P090157,Environment and Social,M,15,EAS
P090157,Fiduciary,L,15,FMP
P090157,Macroeconomic,M,15,MEC
P090157,Overall,S,15,ORR
P090157,Political and Governance,L,15,PAG
P090157,Stakeholders,L,15,SHR
P090157,Sector Strategies and Policies,L,15,SPI
P090157,Institutional Capacity,S,15,TCI
P090157,Technical Design,L,15,TDO
P090644,Environment and Social,M,16,EAS
P090644,Fiduciary,H,16,FMP
P090644,Macroeconomic,S,16,MEC
P090644,Overall,H,16,ORR
P090644,Political and Governance,H,16,PAG
P090644,Stakeholders,H,16,SHR
P090644,Sector Strategies and Policies,S,16,SPI
P090644,Institutional Capacity,H,16,TCI
P090644,Technical Design,M,16,TDO
P090712,Environment and Social,L,15,EAS
P090712,Fiduciary,M,15,FMP
P090712,Macroeconomic,S,15,MEC
P090712,Overall,S,15,ORR
P090712,Political and Governance,S,15,PAG
P090712,Stakeholders,L,15,SHR
P090712,Sector Strategies and Policies,M,15,SPI
P090712,Institutional Capacity,S,15,TCI
P090712,Technical Design,M,15,TDO
P090723,Environment and Social,M,12,EAS
P090723,Fiduciary,M,12,FMP
P090723,Macroeconomic,L,12,MEC
P090723,Overall,M,12,ORR
P090723,Political and Governance,L,12,PAG
