project_id,risk_rating_code,risk_rating,risk_rating_sequence,risk_rating_code_key,prod_line,proj_emrg_recvry_flg,approval_fy,fcs_indicator,tl,tl_since,project_track,scale_up,len_instr_type,practice,country,region,net_commit_amt,grant,risk_numeric
P049290,Environment and Social,H,9,EAS,PE,0,2005,1,264997,2015-11-12,2,0,INVESTMENT,ENV,Lao People's Democratic Republic,EAP,20,0,4
P049290,Fiduciary,S,9,FMP,PE,0,2005,1,264997,2015-11-12,2,0,INVESTMENT,ENV,Lao People's Democratic Republic,EAP,20,0,3
P049290,Macroeconomic,S,9,MEC,PE,0,2005,1,264997,2015-11-12,2,0,INVESTMENT,ENV,Lao People's Democratic Republic,EAP,20,0,3
P049290,Overall,H,9,ORR,PE,0,2005,1,264997,2015-11-12,2,0,INVESTMENT,ENV,Lao People's Democratic Republic,EAP,20,0,4
P049290,Political and Governance,S,9,PAG,PE,0,2005,1,264997,2015-11-12,2,0,INVESTMENT,ENV,Lao People's Democratic Republic,EAP,20,0,3
P049290,Stakeholders,S,9,SHR,PE,0,2005,1,264997,2015-11-12,2,0,INVESTMENT,ENV,Lao People's Democratic Republic,EAP,20,0,3
P049290,Sector Strategies and Policies,S,9,SPI,PE,0,2005,1,264997,2015-11-12,2,0,INVESTMENT,ENV,Lao People's Democratic Republic,EAP,20,0,3
P049290,Institutional Capacity,H,9,TCI,PE,0,2005,1,264997,2015-11-12,2,0,INVESTMENT,ENV,Lao People's Democratic Republic,EAP,20,0,4
P049290,Technical Design,L,9,TDO,PE,0,2005,1,264997,2015-11-12,2,0,INVESTMENT,ENV,Lao People's Democratic Republic,EAP,20,0,1
P054221,Environment and Social,M,18,EAS,PE,0,2009,0,371225,2015-07-15,2,0,INVESTMENT,WAT,Dominican Republic,LCR,27.5,0,2
P054221,Fiduciary,S,18,FMP,PE,0,2009,0,371225,2015-07-15,2,0,INVESTMENT,WAT,Dominican Republic,LCR,27.5,0,3
P054221,Macroeconomic,S,18,MEC,PE,0,2009,0,371225,2015-07-15,2,0,INVESTMENT,WAT,Dominican Republic,LCR,27.5,0,3
P054221,Overall,S,18,ORR,PE,0,2009,0,371225,2015-07-15,2,0,INVESTMENT,WAT,Dominican Republic,LCR,27.5,0,3
P054221,Political and Governance,M,18,PAG,PE,0,2009,0,371225,2015-07-15,2,0,INVESTMENT,WAT,Dominican Republic,LCR,27.5,0,2
P054221,Stakeholders,M,18,SHR,PE,0,2009,0,371225,2015-07-15,2,0,INVESTMENT,WAT,Dominican Republic,LCR,27.5,0,2
P054221,Sector Strategies and Policies,S,18,SPI,PE,0,2009,0,371225,2015-07-15,2,0,INVESTMENT,WAT,Dominican Republic,LCR,27.5,0,3
P054221,Institutional Capacity,S,18,TCI,PE,0,2009,0,371225,2015-07-15,2,0,INVESTMENT,WAT,Dominican Republic,LCR,27.5,0,3
P054221,Technical Design,M,18,TDO,PE,0,2009,0,371225,2015-07-15,2,0,INVESTMENT,WAT,Dominican Republic,LCR,27.5,0,2
P064836,Environment and Social,L,24,EAS,PE,0,2006,0,306412,2015-12-16,2,0,INVESTMENT,WAT,Tunisia,MNA,38,0,1
P064836,Fiduciary,S,24,FMP,PE,0,2006,0,306412,2015-12-16,2,0,INVESTMENT,WAT,Tunisia,MNA,38,0,3
P064836,Macroeconomic,M,24,MEC,PE,0,2006,0,306412,2015-12-16,2,0,INVESTMENT,WAT,Tunisia,MNA,38,0,2
P064836,Overall,S,24,ORR,PE,0,2006,0,306412,2015-12-16,2,0,INVESTMENT,WAT,Tunisia,MNA,38,0,3
P064836,Political and Governance,S,24,PAG,PE,0,2006,0,306412,2015-12-16,2,0,INVESTMENT,WAT,Tunisia,MNA,38,0,3
P064836,Stakeholders,L,24,SHR,PE,0,2006,0,306412,2015-12-16,2,0,INVESTMENT,WAT,Tunisia,MNA,38,0,1
P064836,Sector Strategies and Policies,M,24,SPI,PE,0,2006,0,306412,2015-12-16,2,0,INVESTMENT,WAT,Tunisia,MNA,38,0,2
P064836,Institutional Capacity,M,24,TCI,PE,0,2006,0,306412,2015-12-16,2,0,INVESTMENT,WAT,Tunisia,MNA,38,0,2
P064836,Technical Design,M,24,TDO,PE,0,2006,0,306412,2015-12-16,2,0,INVESTMENT,WAT,Tunisia,MNA,38,0,2
P069063,Environment and Social,L,28,EAS,PE,0,2003,0,156387,2009-01-27,2,0,INVESTMENT,URS,Russian Federation,ECA,161.1,0,1
P069063,Fiduciary,M,28,FMP,PE,0,2003,0,156387,2009-01-27,2,0,INVESTMENT,URS,Russian Federation,ECA,161.1,0,2
P069063,Macroeconomic,S,28,MEC,PE,0,2003,0,156387,2009-01-27,2,0,INVESTMENT,URS,Russian Federation,ECA,161.1,0,3
P069063,Overall,M,28,ORR,PE,0,2003,0,156387,2009-01-27,2,0,INVESTMENT,URS,Russian Federation,ECA,161.1,0,2
P069063,Political and Governance,S,28,PAG,PE,0,2003,0,156387,2009-01-27,2,0,INVESTMENT,URS,Russian Federation,ECA,161.1,0,3
P069063,Stakeholders,M,28,SHR,PE,0,2003,0,156387,2009-01-27,2,0,INVESTMENT,URS,Russian Federation,ECA,161.1,0,2
P069063,Sector Strategies and Policies,M,28,SPI,PE,0,2003,0,156387,2009-01-27,2,0,INVESTMENT,URS,Russian Federation,ECA,161.1,0,2
P069063,Institutional Capacity,M,28,TCI,PE,0,2003,0,156387,2009-01-27,2,0,INVESTMENT,URS,Russian Federation,ECA,161.1,0,2
P069063,Technical Design,M,28,TDO,PE,0,2003,0,156387,2009-01-27,2,0,INVESTMENT,URS,Russian Federation,ECA,161.1,0,2
P071250,Environment and Social,M,16,EAS,PE,0,2010,0,232669,2011-12-05,2,0,INVESTMENT,URS,India,SAR,300,0,2
P071250,Fiduciary,M,16,FMP,PE,0,2010,0,232669,2011-12-05,2,0,INVESTMENT,URS,India,SAR,300,0,2
P071250,Macroeconomic,L,16,MEC,PE,0,2010,0,232669,2011-12-05,2,0,INVESTMENT,URS,India,SAR,300,0,1
P071250,Overall,S,16,ORR,PE,0,2010,0,232669,2011-12-05,2,0,INVESTMENT,URS,India,SAR,300,0,3
P071250,Political and Governance,M,16,PAG,PE,0,2010,0,232669,2011-12-05,2,0,INVESTMENT,URS,India,SAR,300,0,2
P071250,Stakeholders,S,16,SHR,PE,0,2010,0,232669,2011-12-05,2,0,INVESTMENT,URS,India,SAR,300,0,3
P071250,Sector Strategies and Policies,S,16,SPI,PE,0,2010,0,232669,2011-12-05,2,0,INVESTMENT,URS,India,SAR,300,0,3
P071250,Institutional Capacity,S,16,TCI,PE,0,2010,0,232669,2011-12-05,2,0,INVESTMENT,URS,India,SAR,300,0,3
P071250,Technical Design,M,16,TDO,PE,0,2010,0,232669,2011-12-05,2,0,INVESTMENT,URS,India,SAR,300,0,2
P074091,Environment and Social,M,13,EAS,PE,0,2010,0,145262,2016-09-19,2,0,INVESTMENT,HNP,Kenya,AFR,100,0,2
P074091,Fiduciary,S,13,FMP,PE,0,2010,0,145262,2016-09-19,2,0,INVESTMENT,HNP,Kenya,AFR,100,0,3
