project_id,risk_overall,risk_environment_and_social,risk_fiduciary,risk_institutional_capacity,risk_macroeconomic,risk_political_and_governance,risk_sector_strategies_and_policies,risk_stakeholders,risk_technical_design,risk_rating_sequence
P049290,4,4,3,4,3,3,3,3,1,9
P054221,3,2,3,3,3,2,3,2,2,18
P064836,3,1,3,2,2,3,2,1,2,24
P069063,2,1,2,2,3,3,2,2,2,28
P071250,3,2,2,3,1,2,3,3,2,16
P074091,3,2,3,3,3,3,3,2,1,13
P074191,3,1,2,2,3,3,3,3,1,17
P074595,4,4,3,4,4,4,4,4,3,28
P075941,4,4,2,4,1,4,1,4,4,7
P079032,2,2,3,2,3,3,2,2,2,18
P079736,4,3,3,4,4,4,3,4,3,19
P083108,2,2,2,3,2,3,3,2,2,21
P083325,3,2,3,3,2,3,2,2,2,22
P083813,3,3,3,3,2,3,1,2,2,15
P084302,2,2,3,2,3,3,2,1,1,20
P084773,2,2,2,2,2,2,1,2,1,13
P085009,3,2,2,3,2,3,3,2,3,22
P085375,2,1,2,2,2,2,1,1,1,16
P085621,3,2,2,3,1,3,2,1,1,8
P086592,3,2,2,3,2,3,2,2,2,8
P086660,2,1,1,3,2,2,3,1,1,13
P086768,2,3,1,2,1,3,1,1,2,19
P087140,2,3,4,4,2,3,1,2,2,15
P087304,3,4,2,3,2,3,3,3,4,15
P088520,3,2,3,2,1,1,1,2,2,13
P088759,3,1,2,2,1,2,2,2,3,14
P088799,3,2,4,3,1,3,1,2,1,21
P088926,2,2,2,2,2,2,3,2,2,14
P088966,2,2,1,2,3,2,2,2,2,17
P089733,2,1,1,1,2,2,2,1,1,15
P089985,2,2,1,2,1,1,1,1,1,14
P090157,3,2,1,3,2,1,1,1,1,15
P090644,4,2,4,4,3,4,3,4,2,16
P090712,3,1,2,3,3,3,2,1,2,15
P090723,2,2,2,3,1,1,2,1,2,12
P090807,2,1,3,3,2,4,2,2,1,15
P090990,2,2,3,2,2,2,2,1,2,11
P091031,3,3,2,3,1,2,2,3,3,15
P091092,4,2,4,3,3,4,3,3,3,16
P091258,2,1,2,1,3,2,1,1,1,17
P092217,3,3,3,3,3,3,2,3,2,12
P092218,2,3,1,2,2,3,3,2,2,13
P092353,4,4,3,4,2,4,1,3,3,22
P092429,2,1,1,1,2,2,1,1,1,13
P092537,4,3,3,3,3,4,3,3,3,14
P092724,3,3,2,2,3,4,2,1,2,13
P093132,2,1,1,1,2,2,2,1,2,19
P093719,3,1,2,3,2,2,1,3,3,16
P093765,2,2,2,2,2,3,2,1,1,17
P093775,2,1,2,2,2,3,2,2,2,17
P093806,3,2,3,3,2,2,2,2,2,20
P094183,2,2,4,3,2,2,2,2,3,7
P094755,4,1,2,3,4,4,2,2,1,14
P094919,2,2,3,2,2,2,2,2,1,11
