Date,Total Posts
1/1/17,79
1/2/17,77
1/3/17,85
1/4/17,86
1/5/17,124
1/6/17,115
1/7/17,121
1/8/17,121
1/9/17,83
1/10/17,82
1/11/17,86
1/12/17,98
1/13/17,86
1/14/17,107
1/15/17,86
1/16/17,84
1/17/17,75
1/18/17,95
1/19/17,69
1/20/17,70
1/21/17,82
1/22/17,101
1/23/17,82
1/24/17,75
1/25/17,87
1/26/17,60
1/27/17,62
1/28/17,72
1/29/17,91
1/30/17,89
1/31/17,66
2/1/17,79
2/2/17,78
2/3/17,84
2/4/17,68
2/5/17,79
2/6/17,84
2/7/17,80
2/8/17,75
2/9/17,76
2/10/17,64
2/11/17,77
2/12/17,68
2/13/17,62
2/14/17,55
2/15/17,61
2/16/17,77
2/17/17,67
2/18/17,64
2/19/17,68
2/20/17,83
2/21/17,63
2/22/17,65
2/23/17,64
2/24/17,63
2/25/17,83
2/26/17,83
2/27/17,80
2/28/17,56
3/1/17,87
3/2/17,63
3/3/17,109
3/4/17,74
3/5/17,88
3/6/17,72
3/7/17,87
3/8/17,91
3/9/17,76
3/10/17,75
3/11/17,95
3/12/17,92
3/13/17,99
3/14/17,71
3/15/17,76
3/16/17,80
3/17/17,63
3/18/17,67
3/19/17,105
3/20/17,73
3/21/17,61
3/22/17,55
3/23/17,70
3/24/17,52
3/25/17,74
3/26/17,94
3/27/17,75
3/28/17,78
3/29/17,84
3/30/17,78
3/31/17,76
4/1/17,92
4/2/17,114
4/3/17,95
4/4/17,94
4/5/17,64
4/6/17,46
4/7/17,63
4/8/17,83
4/9/17,103
4/10/17,88
4/11/17,100
4/12/17,73
4/13/17,101
4/14/17,80
4/15/17,95
4/16/17,107
4/17/17,100
4/18/17,95
4/19/17,80
4/20/17,78
4/21/17,93
4/22/17,146
4/23/17,57
4/24/17,58
4/25/17,66
4/26/17,59
4/27/17,58
4/28/17,68
4/29/17,125
4/30/17,213
5/1/17,179
5/2/17,170
5/3/17,193
5/4/17,117
5/5/17,114
5/6/17,160
5/7/17,171
5/8/17,159
5/9/17,162
5/10/17,120
5/11/17,120
5/12/17,120
5/13/17,130
5/14/17,129
5/15/17,153
5/16/17,123
5/17/17,88
5/18/17,121
5/19/17,114
5/20/17,148
5/21/17,144
5/22/17,134
5/23/17,132
5/24/17,116
5/25/17,153
5/26/17,108
5/27/17,132
5/28/17,156
5/29/17,158
5/30/17,159
5/31/17,141
6/1/17,155
6/2/17,144
6/3/17,162
6/4/17,214
6/5/17,192
6/6/17,141
6/7/17,159
6/8/17,130
6/9/17,150
6/10/17,190
6/11/17,213
6/12/17,209
6/13/17,156
6/14/17,157
6/15/17,140
6/16/17,154
6/17/17,146
6/18/17,165
6/19/17,155
6/20/17,165
6/21/17,136
6/22/17,154
6/23/17,166
6/24/17,155
6/25/17,218
6/26/17,182
6/27/17,191
6/28/17,185
6/29/17,246
6/30/17,179
7/1/17,178
7/2/17,212
7/3/17,184
7/4/17,157
7/5/17,190
7/6/17,198
7/7/17,182
7/8/17,256
7/9/17,244
7/10/17,205
7/11/17,186
7/12/17,187
7/13/17,196
7/14/17,217
7/15/17,199
7/16/17,227
7/17/17,190
7/18/17,182
7/19/17,176
7/20/17,190
7/21/17,160
7/22/17,208
7/23/17,231
7/24/17,198
7/25/17,223
7/26/17,174
7/27/17,200
7/28/17,190
7/29/17,208
7/30/17,227
7/31/17,229
8/1/17,188
8/2/17,210
8/3/17,186
8/4/17,173
8/5/17,205
8/6/17,258
8/7/17,197
8/8/17,186
8/9/17,179
8/10/17,182
8/11/17,231
8/12/17,211
8/13/17,224
8/14/17,273
8/15/17,227
8/16/17,238
8/17/17,221
8/18/17,249
8/19/17,231
8/20/17,246
8/21/17,193
8/22/17,196
8/23/17,218
8/24/17,215
8/25/17,219
8/26/17,160
8/27/17,246
8/28/17,209
8/29/17,187
8/30/17,172
8/31/17,204
9/1/17,185
9/2/17,184
9/3/17,205
9/4/17,171
9/5/17,187
9/6/17,186
9/7/17,192
9/8/17,162
9/9/17,198
9/10/17,175
9/11/17,190
9/12/17,196
9/13/17,162
9/14/17,180
9/15/17,145
9/16/17,169
9/17/17,176
9/18/17,170
9/19/17,163
9/20/17,161
9/21/17,163
9/22/17,163
9/23/17,157
9/24/17,183
9/25/17,166
9/26/17,174
9/27/17,176
9/28/17,189
9/29/17,182
9/30/17,198
10/1/17,184
10/2/17,186
10/3/17,164
10/4/17,184
10/5/17,174
10/6/17,128
10/7/17,165
10/8/17,166
10/9/17,176
10/10/17,165
10/11/17,138
10/12/17,153
10/13/17,154
10/14/17,190
10/15/17,202
10/16/17,182
10/17/17,224
10/18/17,192
10/19/17,176
10/20/17,189
10/21/17,227
10/22/17,187
10/23/17,228
10/24/17,155
10/25/17,183
10/26/17,184
10/27/17,154
10/28/17,196
10/29/17,185
10/30/17,164
10/31/17,176
11/1/17,150
11/2/17,167
11/3/17,166
11/4/17,142
11/5/17,211
11/6/17,187
11/7/17,183
11/8/17,169
11/9/17,151
11/10/17,172
11/11/17,116
11/12/17,186
11/13/17,186
11/14/17,140
11/15/17,147
11/16/17,135
11/17/17,157
11/18/17,189
11/19/17,221
11/20/17,173
11/21/17,189
11/22/17,186
11/23/17,172
11/24/17,150
11/25/17,170
11/26/17,168
11/27/17,161
11/28/17,165
11/29/17,154
11/30/17,179
12/1/17,173
12/2/17,165
12/3/17,193
12/4/17,179
12/5/17,169
12/6/17,135
12/7/17,182
12/8/17,168
12/9/17,162
12/10/17,212
12/11/17,180
12/12/17,151
12/13/17,157
12/14/17,171
12/15/17,165
12/16/17,147
12/17/17,208
12/18/17,181
12/19/17,167
12/20/17,184
12/21/17,209
12/22/17,182
12/23/17,162
12/24/17,172
12/25/17,195
12/26/17,188
12/27/17,186
12/28/17,197
12/29/17,212
12/30/17,205
12/31/17,190
1/1/18,158
1/2/18,222
1/3/18,208
1/4/18,227
1/5/18,158
1/6/18,218
1/7/18,237
1/8/18,233
1/9/18,184
1/10/18,210
1/11/18,189
1/12/18,231
1/13/18,194
1/14/18,220
1/15/18,228
1/16/18,174
1/17/18,217
1/18/18,213
1/19/18,193
1/20/18,211
1/21/18,263
1/22/18,226
1/23/18,180
1/24/18,197
1/25/18,175
1/26/18,186
1/27/18,273
1/28/18,200
1/29/18,225
1/30/18,248
1/31/18,197
