Date,Total Posts
1/1/17,1
1/2/17,0
1/3/17,1
1/4/17,1
1/5/17,2
1/6/17,2
1/7/17,3
1/8/17,3
1/9/17,0
1/10/17,2
1/11/17,0
1/12/17,2
1/13/17,3
1/14/17,1
1/15/17,1
1/16/17,0
1/17/17,3
1/18/17,7
1/19/17,1
1/20/17,2
1/21/17,6
1/22/17,6
1/23/17,5
1/24/17,5
1/25/17,6
1/26/17,1
1/27/17,4
1/28/17,3
1/29/17,2
1/30/17,6
1/31/17,2
2/1/17,2
2/2/17,0
2/3/17,1
2/4/17,4
2/5/17,3
2/6/17,2
2/7/17,1
2/8/17,1
2/9/17,4
2/10/17,3
2/11/17,5
2/12/17,4
2/13/17,1
2/14/17,2
2/15/17,5
2/16/17,6
2/17/17,6
2/18/17,10
2/19/17,2
2/20/17,4
2/21/17,3
2/22/17,6
2/23/17,1
2/24/17,0
2/25/17,2
2/26/17,6
2/27/17,6
2/28/17,3
3/1/17,3
3/2/17,3
3/3/17,5
3/4/17,3
3/5/17,4
3/6/17,4
3/7/17,10
3/8/17,6
3/9/17,8
3/10/17,9
3/11/17,4
3/12/17,4
3/13/17,12
3/14/17,7
3/15/17,8
3/16/17,7
3/17/17,3
3/18/17,11
3/19/17,9
3/20/17,7
3/21/17,4
3/22/17,8
3/23/17,10
3/24/17,4
3/25/17,7
3/26/17,5
3/27/17,7
3/28/17,3
3/29/17,5
3/30/17,8
3/31/17,11
4/1/17,13
4/2/17,22
4/3/17,6
4/4/17,18
4/5/17,8
4/6/17,5
4/7/17,8
4/8/17,7
4/9/17,11
4/10/17,11
4/11/17,8
4/12/17,11
4/13/17,11
4/14/17,3
4/15/17,4
4/16/17,19
4/17/17,8
4/18/17,5
4/19/17,8
4/20/17,4
4/21/17,9
4/22/17,5
4/23/17,3
4/24/17,3
4/25/17,4
4/26/17,3
4/27/17,4
4/28/17,2
4/29/17,3
4/30/17,14
5/1/17,5
5/2/17,6
5/3/17,5
5/4/17,6
5/5/17,4
5/6/17,7
5/7/17,3
5/8/17,5
5/9/17,5
5/10/17,5
5/11/17,6
5/12/17,11
5/13/17,9
5/14/17,7
5/15/17,9
5/16/17,7
5/17/17,2
5/18/17,5
5/19/17,2
5/20/17,6
5/21/17,5
5/22/17,10
5/23/17,6
5/24/17,6
5/25/17,7
5/26/17,9
5/27/17,8
5/28/17,9
5/29/17,4
5/30/17,5
5/31/17,3
6/1/17,10
6/2/17,7
6/3/17,3
6/4/17,12
6/5/17,10
6/6/17,7
6/7/17,11
6/8/17,8
6/9/17,8
6/10/17,10
6/11/17,10
6/12/17,14
6/13/17,8
6/14/17,2
6/15/17,10
6/16/17,6
6/17/17,7
6/18/17,7
6/19/17,9
6/20/17,8
6/21/17,9
6/22/17,7
6/23/17,6
6/24/17,7
6/25/17,6
6/26/17,7
6/27/17,9
6/28/17,5
6/29/17,10
6/30/17,7
7/1/17,5
7/2/17,8
7/3/17,15
7/4/17,15
7/5/17,7
7/6/17,9
7/7/17,13
7/8/17,10
7/9/17,11
7/10/17,9
7/11/17,14
7/12/17,7
7/13/17,13
7/14/17,3
7/15/17,6
7/16/17,7
7/17/17,11
7/18/17,5
7/19/17,5
7/20/17,13
7/21/17,14
7/22/17,23
7/23/17,16
7/24/17,21
7/25/17,29
7/26/17,17
7/27/17,9
7/28/17,20
7/29/17,25
7/30/17,6
7/31/17,20
8/1/17,10
8/2/17,17
8/3/17,11
8/4/17,7
8/5/17,17
8/6/17,14
8/7/17,2
8/8/17,8
8/9/17,13
8/10/17,6
8/11/17,8
8/12/17,13
8/13/17,11
8/14/17,11
8/15/17,12
8/16/17,15
8/17/17,7
8/18/17,13
8/19/17,8
8/20/17,7
8/21/17,10
8/22/17,17
8/23/17,12
8/24/17,11
8/25/17,9
8/26/17,8
8/27/17,11
8/28/17,14
8/29/17,11
8/30/17,4
8/31/17,9
9/1/17,9
9/2/17,10
9/3/17,14
9/4/17,7
9/5/17,3
